parameters;n_neighbors;min_dist;min_cluster;min_sample;topic_coherence;nr_topics;avg_similarity;topics
de_timber_kl_n_neighbors = 5 min_dist = 0.25 min_cluster = 10 min_sample = 2;5.0;0.25;10.0;2.0;0.4522088267087;26.0;0.7748195929995259;"0_klimawandel_anpassung_forschung_anpassungsforschung; 1_ls_kreislaufwirtschaft_vgl_abfällen; 2_gewässer_feuchtgebiete_wasserwirtschaft_maßnahmen; 3_klimamodelle_remo_zeitraum_modell; 4_anpassungsstrategie_bundesregierung_deutsche_anpassung; 5_bevölkerungsschutz_bevölkerung_katastrophenschutz_bund; 6_wasserstraßen_trend_jahrhunderts_niederschlag; 7_unsicherheiten_szenarien_zukünftige_klimaprognose; 8_wald_kubikmeter_wälder_mehr; 9_design_produkte_verantwortung_produkten; 10_ländlichen_raum_holzwirtschaft_forschung; 11_klimawandels_könnten_regionalen_länder; 12_holz_deutsche_wohnraum_holzwirtschaft; 13_fischerei_tourismus_einher_fischbestände; 14_infektionen_erreger_ambrosia_vektoren; 15_dhwr_öffentlichkeitsarbeit_politik_leitsätze; 16_anpassung_klimawandel_zusammenarbeit_entwicklungsländer; 17_bauen_holzwirtschaft_wohnen_kreislaufwirtschaft; 18_risiken_versicherungen_usdollar_banken; 19_kreislaufwirtschaft_kosten_ziele_aktivitäten; 20_agrobiodiversität_vielfalt_erhaltung_maßnahmen; 21_bioökonomie_biobasierte_steigerung_politik; 22_kraftwerke_unterbrechungen_könnten_kühlwasser; 23_straßen_sommer_geringere_hitzewellen; 24_holzwirtschaft_nadelholz_laubholz_mio; 25_klimaschutz_tierhaltung_treibhausgasemissionen_erhalten"
de_timber_kl_n_neighbors = 5 min_dist = 0.25 min_cluster = 15 min_sample = 3;5.0;0.25;15.0;3.0;0.4976337707594498;15.0;0.8123199510784685;"0_klimawandels_klimawandel_auswirkungen_maßnahmen; 1_gewässer_auswirkungen_insbesondere_anpassung; 2_kreislaufwirtschaft_produkte_verantwortung_design; 3_bevölkerungsschutz_risiken_bund_katastrophenschutz; 4_ls_kreislaufwirtschaft_vgl_abfällen; 5_anpassung_klimawandel_forschung_anpassungsforschung; 6_klimamodelle_remo_zeitraum_modell; 7_wasserstraßen_trend_jahrhunderts_niederschlag; 8_anpassungsstrategie_bundesregierung_deutsche_deutschen; 9_holz_holzwirtschaft_holzbau_bauen; 10_unsicherheiten_szenarien_zukünftige_musterszenarien; 11_ländlichen_raum_holzwirtschaft_forschung; 12_holzwirtschaft_laubholz_nadelholz_holz; 13_kubikmeter_wald_wälder_baumarten; 14_infektionen_erreger_vektoren_überträger"
de_timber_kl_n_neighbors = 5 min_dist = 0.25 min_cluster = 20 min_sample = 5;5.0;0.25;20.0;5.0;0.444178812350137;9.0;0.8401009197379364;"0_anpassungsstrategie_deutschen_deutsche_bundesregierung; 1_klimawandel_klimawandels_auswirkungen_maßnahmen; 2_anpassung_forschung_klimawandel_unsicherheiten; 3_kreislaufwirtschaft_ls_vgl_abfällen; 4_gewässer_auswirkungen_anpassung_insbesondere; 5_risiken_bevölkerungsschutz_bund_katastrophenschutz; 6_kreislaufwirtschaft_verantwortung_produkte_design; 7_holz_holzbau_bauen_wohnraum; 8_anpassungsmaßnahmen_daten_konzept_erfolgskontrolle"
de_timber_kl_n_neighbors = 5 min_dist = 0.25 min_cluster = 25 min_sample = 6;5.0;0.25;25.0;6.0;0.6418388577562028;3.0;0.8870856065857091;"0_anpassung_klimawandel_klimawandels_maßnahmen; 1_ls_kreislaufwirtschaft_vgl_abfällen; 2_kreislaufwirtschaft_verantwortung_produkte_design"
de_timber_kl_n_neighbors = 5 min_dist = 0.25 min_cluster = 30 min_sample = 7;5.0;0.25;30.0;7.0;0.4152131566635199;5.0;0.8624990658212698;"0_klimawandel_anpassung_klimawandels_maßnahmen; 1_kreislaufwirtschaft_produkte_produkten_vgl; 2_anpassungsstrategie_deutschen_bundesregierung_deutsche; 3_gewässer_insbesondere_auswirkungen_anpassung; 4_risiken_bevölkerungsschutz_bund_katastrophenschutz"
de_timber_kl_n_neighbors = 7 min_dist = 0.0 min_cluster = 10 min_sample = 2;7.0;0.0;10.0;2.0;0.40742144871970226;26.0;0.7912533234078408;"0_holz_holzwirtschaft_kraftwerke_rohstoffen; 1_anpassungsstrategie_deutsche_bundesregierung_deutschen; 2_ls_vgl_kreislaufwirtschaft_abfällen; 3_sdg_klimawandels_studien_klimawandel; 4_bevölkerungsschutz_bund_bevölkerung_schutz; 5_mio_laubholz_nadelholz_holz; 6_gewässer_feuchtgebiete_auswirkungen_infrastruktur; 7_abb_klimamodelle_zeitraum_modell; 8_unsicherheiten_szenarien_klimasystems_zukünftige; 9_klimawandels_anpassung_auswirkungen_klimaänderungen; 10_hitzewellen_straßen_häufigere_extremes; 11_sollten_länder_bund_daten; 12_maßnahmen_sollten_planung_landschaftsplanung; 13_design_produkte_verantwortung_produkten; 14_fischerei_arten_ostsee_nord; 15_anpassung_klimawandel_anpassungsstrategien_zusammenarbeit; 16_arten_pflanzen_klimasensitiver_überträger; 17_indikatoren_anpassungsmaßnahmen_akteure_bundesregierung; 18_cm_jahrhunderts_sogar_winter; 19_ländlichen_raum_arbeitsplätze_arbeitgeber; 20_infektionen_erreger_ambrosia_vektoren; 21_kreislaufwirtschaft_ziele_umwelt_verantwortung; 22_dhwr_öffentlichkeitsarbeit_politik_leitsätze; 23_risiken_versicherungen_usdollar_banken; 24_forschung_anpassungsforschung_klimawandel_klimzug; 25_baumarten_waldbewirtschaftung_waldbesitzer_kalamitäten"
de_timber_kl_n_neighbors = 7 min_dist = 0.0 min_cluster = 15 min_sample = 3;7.0;0.0;15.0;3.0;0.5732275207323962;8.0;0.8442236106599117;"0_anpassung_klimawandel_klimawandels_maßnahmen; 1_holz_holzwirtschaft_kraftwerke_rohstoffen; 2_klimamodelle_abb_zeitraum_jahrhunderts; 3_bund_risiken_bevölkerungsschutz_schäden; 4_ls_kreislaufwirtschaft_vgl_abfällen; 5_anpassungsstrategie_deutsche_bundesregierung_deutschen; 6_holzwirtschaft_mio_holz_nadelholz; 7_kreislaufwirtschaft_verantwortung_produkte_design"
de_timber_kl_n_neighbors = 7 min_dist = 0.0 min_cluster = 20 min_sample = 5;7.0;0.0;20.0;5.0;0.5425233361399022;10.0;0.837118796031205;"0_anpassung_klimawandel_klimawandels_maßnahmen; 1_arten_gewässer_auswirkungen_insbesondere; 2_holz_holzwirtschaft_rohstoffen_holzbau; 3_klimamodelle_abb_zeitraum_jahrhunderts; 4_bund_risiken_bevölkerungsschutz_schäden; 5_ls_kreislaufwirtschaft_vgl_abfällen; 6_anpassungsstrategie_deutsche_bundesregierung_deutschen; 7_kreislaufwirtschaft_verantwortung_produkte_design; 8_mio_holz_holzwirtschaft_nadelholz; 9_unsicherheiten_szenarien_klimasystems_zukünftige"
de_timber_kl_n_neighbors = 7 min_dist = 0.0 min_cluster = 25 min_sample = 6;7.0;0.0;25.0;6.0;0.5928236973309517;8.0;0.8473851742071477;"0_anpassung_klimawandel_klimawandels_maßnahmen; 1_klimamodelle_abb_zeitraum_jahrhunderts; 2_bund_risiken_bevölkerungsschutz_schäden; 3_holz_holzwirtschaft_holzbau_bauen; 4_ls_kreislaufwirtschaft_vgl_abfällen; 5_anpassungsstrategie_deutsche_bundesregierung_deutschen; 6_kreislaufwirtschaft_verantwortung_produkte_design; 7_mio_holz_holzwirtschaft_laubholz"
de_timber_kl_n_neighbors = 7 min_dist = 0.0 min_cluster = 30 min_sample = 7;7.0;0.0;30.0;7.0;0.5748420648942597;7.0;0.8506405974694663;"0_anpassung_klimawandel_klimawandels_maßnahmen; 1_bund_risiken_bevölkerungsschutz_maßnahmen; 2_anpassungsstrategie_deutsche_deutschen_bundesregierung; 3_klimamodelle_abb_zeitraum_jahrhunderts; 4_kreislaufwirtschaft_ls_vgl_abfällen; 5_holz_holzwirtschaft_holzbau_wohnraum; 6_kreislaufwirtschaft_verantwortung_produkte_design"
